,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimated Population in the Palestine Mid-Year by Governorate,1997-2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Governorate ,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
 Palestine ," 2,783,084 "," 2,871,568 "," 2,962,226 "," 3,053,335 "," 3,138,471 "," 3,225,214 "," 3,314,509 "," 3,407,417 "," 3,508,126 "," 3,611,998 "," 3,719,189 "," 3,820,801 "," 3,922,130 "," 4,023,462 "," 4,124,795 "," 4,226,410 "," 4,327,751 "," 4,429,084 "," 4,530,416 "," 4,632,025 "," 4,733,357 "," 4,854,013 "," 4,976,684 "," 5,101,152 "," 5,227,193 "," 5,354,656 "," 5,483,450 "," 5,613,463 "," 5,744,561 "," 5,876,648 "
 West Bank ," 1,787,562 "," 1,838,807 "," 1,891,171 "," 1,943,658 "," 1,992,577 "," 2,042,306 "," 2,093,381 "," 2,146,400 "," 2,203,738 "," 2,262,735 "," 2,323,469 "," 2,376,893 "," 2,430,170 "," 2,483,446 "," 2,536,725 "," 2,590,152 "," 2,643,435 "," 2,696,714 "," 2,749,990 "," 2,803,411 "," 2,856,691 "," 2,921,170 "," 2,986,714 "," 3,053,183 "," 3,120,448 "," 3,188,387 "," 3,256,906 "," 3,325,905 "," 3,395,260 "," 3,464,858 "
 Jenin ," 192,743 "," 198,584 "," 204,547 "," 210,518 "," 216,078 "," 221,726 "," 227,520 "," 233,530 "," 240,023 "," 246,696 "," 253,558 "," 259,420 "," 265,268 "," 271,117 "," 276,967 "," 282,837 "," 288,691 "," 294,546 "," 300,402 "," 306,275 "," 312,135 "," 318,629 "," 325,271 "," 332,050 "," 338,919 "," 345,875 "," 352,875 "," 359,934 "," 366,989 "," 374,041 "
 Tubas & the Northern Valleys ," 34,755 "," 36,117 "," 37,521 "," 38,938 "," 40,269 "," 41,631 "," 43,039 "," 44,510 "," 46,111 "," 47,770 "," 49,489 "," 50,590 "," 51,686 "," 52,780 "," 53,872 "," 54,966 "," 56,056 "," 57,143 "," 58,229 "," 59,316 "," 60,399 "," 61,745 "," 63,114 "," 64,507 "," 65,915 "," 67,340 "," 68,779 "," 70,225 "," 71,682 "," 73,143 "
 Tulkarm ," 127,341 "," 130,238 "," 133,174 "," 136,094 "," 138,793 "," 141,516 "," 144,293 "," 147,155 "," 150,227 "," 153,363 "," 156,566 "," 159,554 "," 162,504 "," 165,427 "," 168,323 "," 171,201 "," 174,042 "," 176,855 "," 179,641 "," 182,409 "," 185,140 "," 188,465 "," 191,873 "," 195,341 "," 198,856 "," 202,401 "," 205,946 "," 209,505 "," 213,049 "," 216,586 "
 Nablus ," 248,102 "," 254,845 "," 261,708 "," 268,560 "," 274,922 "," 281,366 "," 287,961 "," 294,782 "," 302,133 "," 309,666 "," 317,391 "," 324,250 "," 331,069 "," 337,868 "," 344,648 "," 351,428 "," 358,169 "," 364,890 "," 371,591 "," 378,291 "," 384,953 "," 392,407 "," 400,012 "," 407,754 "," 415,606 "," 423,572 "," 431,584 "," 439,631 "," 447,695 "," 455,752 "
 Qalqiliya ," 68,361 "," 70,448 "," 72,580 "," 74,716 "," 76,704 "," 78,725 "," 80,798 "," 82,949 "," 85,273 "," 87,663 "," 90,120 "," 92,244 "," 94,365 "," 96,488 "," 98,613 "," 100,746 "," 102,876 "," 105,009 "," 107,143 "," 109,286 "," 111,425 "," 113,915 "," 116,454 "," 119,042 "," 121,671 "," 124,332 "," 127,025 "," 129,745 "," 132,481 "," 135,233 "
 Salfit ," 46,077 "," 47,328 "," 48,601 "," 49,873 "," 51,053 "," 52,248 "," 53,472 "," 54,738 "," 56,101 "," 57,499 "," 58,932 "," 60,481 "," 62,035 "," 63,598 "," 65,170 "," 66,754 "," 68,343 "," 69,941 "," 71,547 "," 73,166 "," 74,790 "," 76,568 "," 78,380 "," 80,225 "," 82,099 "," 84,000 "," 85,920 "," 87,861 "," 89,822 "," 91,794 "
 Ramallah & Al-Bireh ," 202,759 "," 209,679 "," 216,769 "," 223,896 "," 230,556 "," 237,342 "," 244,328 "," 251,596 "," 259,474 "," 267,598 "," 275,981 "," 281,219 "," 286,391 "," 291,512 "," 296,584 "," 301,624 "," 306,597 "," 311,520 "," 316,394 "," 321,234 "," 326,008 "," 333,194 "," 340,475 "," 347,818 "," 355,202 "," 362,602 "," 370,030 "," 377,465 "," 384,903 "," 392,363 "
 Jericho & Al -Aghwar ," 31,089 "," 32,105 "," 33,145 "," 34,188 "," 35,162 "," 36,154 "," 37,173 "," 38,232 "," 39,378 "," 40,559 "," 41,776 "," 42,587 "," 43,389 "," 44,184 "," 44,973 "," 45,757 "," 46,532 "," 47,301 "," 48,062 "," 48,820 "," 49,568 "," 50,481 "," 51,410 "," 52,355 "," 53,317 "," 54,289 "," 55,268 "," 56,256 "," 57,248 "," 58,243 "
 Jerusalem ," 320,809 "," 325,033 "," 329,274 "," 333,451 "," 337,278 "," 341,108 "," 344,982 "," 348,941 "," 353,157 "," 357,424 "," 361,743 "," 368,974 "," 376,134 "," 383,245 "," 390,308 "," 397,345 "," 404,311 "," 411,227 "," 418,095 "," 424,935 "," 431,706 "," 441,585 "," 451,584 "," 461,666 "," 471,834 "," 482,064 "," 492,340 "," 502,625 "," 512,937 "," 523,257 "
 Bethlehem ," 130,361 "," 134,525 "," 138,783 "," 143,054 "," 147,037 "," 151,088 "," 155,251 "," 159,574 "," 164,250 "," 169,064 "," 174,022 "," 178,153 "," 182,278 "," 186,409 "," 190,547 "," 194,701 "," 198,850 "," 203,005 "," 207,165 "," 211,342 "," 215,514 "," 220,227 "," 225,020 "," 229,884 "," 234,802 "," 239,740 "," 244,704 "," 249,689 "," 254,657 "," 259,616 "
 Hebron ," 385,165 "," 399,905 "," 415,069 "," 430,370 "," 444,725 "," 459,402 "," 474,564 "," 490,393 "," 507,611 "," 525,433 "," 543,891 "," 559,421 "," 575,051 "," 590,818 "," 606,720 "," 622,793 "," 638,968 "," 655,277 "," 671,721 "," 688,337 "," 705,053 "," 723,954 "," 743,121 "," 762,541 "," 782,227 "," 802,172 "," 822,435 "," 842,969 "," 863,797 "," 884,830 "
 Gaza Strip ," 995,522 "," 1,032,761 "," 1,071,055 "," 1,109,677 "," 1,145,894 "," 1,182,908 "," 1,221,128 "," 1,261,017 "," 1,304,388 "," 1,349,263 "," 1,395,720 "," 1,443,908 "," 1,491,960 "," 1,540,016 "," 1,588,070 "," 1,636,258 "," 1,684,316 "," 1,732,370 "," 1,780,426 "," 1,828,614 "," 1,876,666 "," 1,932,843 "," 1,989,970 "," 2,047,969 "," 2,106,745 "," 2,166,269 "," 2,226,544 "," 2,287,558 "," 2,349,301 "," 2,411,790 "
 North Gaza ," 178,605 "," 186,485 "," 194,637 "," 202,909 "," 210,712 "," 218,729 "," 227,051 "," 235,782 "," 245,326 "," 255,256 "," 265,594 "," 275,338 "," 285,095 "," 294,891 "," 304,724 "," 314,622 "," 324,533 "," 334,480 "," 344,468 "," 354,519 "," 364,582 "," 377,279 "," 390,245 "," 403,457 "," 416,906 "," 430,546 "," 444,412 "," 458,489 "," 472,777 "," 487,272 "
 Gaza ," 357,768 "," 370,198 "," 382,943 "," 395,760 "," 407,745 "," 419,963 "," 432,546 "," 445,645 "," 459,851 "," 474,509 "," 489,642 "," 505,505 "," 521,251 "," 536,929 "," 552,537 "," 568,122 "," 583,593 "," 598,993 "," 614,324 "," 629,631 "," 644,823 "," 661,607 "," 678,669 "," 695,967 "," 713,488 "," 731,212 "," 749,100 "," 767,167 "," 785,403 "," 803,813 "
 Dier al Balah ," 144,015 "," 149,456 "," 155,052 "," 160,696 "," 165,988 "," 171,397 "," 176,982 "," 182,811 "," 189,148 "," 195,705 "," 202,493 "," 209,306 "," 216,087 "," 222,857 "," 229,615 "," 236,380 "," 243,114 "," 249,837 "," 256,547 "," 263,265 "," 269,946 "," 277,964 "," 286,070 "," 294,260 "," 302,507 "," 310,820 "," 319,208 "," 327,642 "," 336,138 "," 344,670 "
 Khan Yunis ," 195,475 "," 202,247 "," 209,190 "," 216,172 "," 222,700 "," 229,354 "," 236,207 "," 243,340 "," 251,075 "," 259,056 "," 267,294 "," 277,047 "," 286,810 "," 296,607 "," 306,440 "," 316,333 "," 326,236 "," 336,174 "," 346,146 "," 356,179 "," 366,223 "," 377,819 "," 389,604 "," 401,582 "," 413,727 "," 426,056 "," 438,557 "," 451,255 "," 464,127 "," 477,214 "
 Rafah ," 119,659 "," 124,375 "," 129,233 "," 134,140 "," 138,749 "," 143,465 "," 148,342 "," 153,439 "," 158,988 "," 164,737 "," 170,697 "," 176,712 "," 182,717 "," 188,732 "," 194,754 "," 200,801 "," 206,840 "," 212,886 "," 218,941 "," 225,020 "," 231,092 "," 238,174 "," 245,382 "," 252,703 "," 260,117 "," 267,635 "," 275,267 "," 283,005 "," 290,856 "," 298,821 "
